Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
REF0009-mgg-pbdrep | M301534.lib1	100.0	100.0	67.83885642843464	0.0	100.0	63.18322029386648	66.94501957865246	0.8938368497821716	0.9964576550664205	0.4056051194773566
REF0009-mgg-pbdrep | M301535.lib1	100.0	100.0	85.04669666579936	0.0	100.0	71.32539000963385	83.78988355038143	1.256813115417913	3.0632048238874736	1.187612755393563
REF0009-mgg-pbdrep | M301536.lib1	100.0	100.0	86.56261042354923	0.0	100.0	80.52511083779478	85.50766288279922	1.054947540750021	1.7977473718943715	0.9150790161345339
REF0009-mgg-pbdrep | M301537.lib1	100.0	100.0	85.30629102860593	0.0	100.0	77.1119013269809	84.16798591564778	1.138305112958147	1.8233396811324551	0.777032415500953
REF0009-mgg-pbdrep | M301538.lib1	100.0	100.0	84.90138523625211	0.0	100.0	74.68190359012597	83.67684757910284	1.2245376571492763	2.3106275835072267	0.9775013185871521
REF0009-mgg-pbdrep | M301539.lib1	100.0	100.0	0.7503942270222685	0.0	100.0	0.6581218842941166	0.7253575300894658	0.025036696932802714	0.023623335009176755	0.011357372600565747
REF0009-mgg-pbdrep | M301540.lib1	100.0	100.0	84.31215386232309	0.0	100.0	75.22041239600661	83.16984322490426	1.1423106374188257	2.04651531224809	0.8460424138218465
REF0009-mgg-pbdrep | M301541.lib1	100.0	100.0	85.4170234319889	0.0	100.0	76.71760701633262	84.26621185837698	1.1508115736119227	1.9667877213501876	0.8210447082027483
REF0009-mgg-pbdrep | M301542.lib1	100.0	100.0	84.88018168452601	0.0	100.0	75.9019534713737	83.75357548668583	1.1266061978401736	2.0167813093691556	0.8242077147155666
REF0009-mgg-pbdrep | M301543.lib1	100.0	100.0	2.6661671947156678	0.0	100.0	2.431936804508277	2.6057616344688626	0.06040556024680549	0.045031226542507435	0.019043412178548453
REF0009-mgg-pbdrep | M301544.lib1	100.0	100.0	84.88007518159657	0.0	100.0	75.99734258375868	83.7578161556072	1.1222590259893666	1.9234328763145976	0.7690497104285362
REF0009-mgg-pbdrep | M301545.lib1	100.0	100.0	85.93841535402974	0.0	100.0	77.40004339037793	84.77506833097031	1.1633470230594283	1.9939806944283867	0.887344524199656
